timestamp	Catch	Esoteria	Paragon Soul	Providence	Stain
2016-02-19 12:00:00	4307.94654304	8699.67257326	4410.98711081	8429.63692766	1741.54178114
2016-02-20 00:00:00	4313.98019689	8597.64132326	4449.55762363	8728.83083791	1746.24370421
2016-02-20 12:00:00	4433.6786859	8673.20176282	4143.10913462	8911.52932692	1766.18189103
2016-02-21 00:00:00	4643.8349359	8601.07051282	4103.10496795	9181.29807692	1733.04647436
2016-02-21 12:00:00	4773.80608974	8442.53205128	3856.09535256	9373.28846154	1726.21955128
2016-02-22 00:00:00	5019.6650641	8032.71794872	4009.73637821	9434.7275641	1720.81730769
2016-02-22 12:00:00	5220.07852564	8146.29487179	3792.14983974	9575.63141026	1685.90384615
2016-02-23 00:00:00	5327.30929487	8019.00641026	3696.26522436	9684.86217949	1705.41346154
2016-02-23 12:00:00	5469.24278846	8142.90464744	3525.5849359	9699.49439103	1740.05208333
2016-02-24 00:00:00	5402.50913462	7921.65464744	3430.70608974	9611.4713141	1752.10016026
2016-02-24 12:00:00	5387.46778846	7860.18349359	3587.3849359	9781.16746795	1719.81554487
2016-02-25 00:00:00	5227.01666667	7586.09935897	3549.78717949	9728.36217949	1689.83237179
2016-02-25 12:00:00	5044.11522436	7650.25400641	3738.95945513	9677.24038462	1606.21298077
2016-02-26 00:00:00	4926.71778846	7600.32772436	3573.29919872	9656.98397436	1602.31714744
2016-02-26 12:00:00	4836.89967949	6941.41105769	3509.2463141	9523.92948718	1534.00705128
2016-02-27 00:00:00	4815.95387529	6751.40581294	3495.69124417	9378.08945221	1483.65128205
2016-02-27 12:00:00	4678.72310606	6886.43465909	3491.2393211	9363.83945221	1460.27628205
2016-02-28 00:00:00	4708.29329837	7063.69427448	3555.55085956	9271.18945221	1454.89166667
2016-02-28 12:00:00	4793.75772145	7053.81927448	3559.76624417	9220.99329837	1377.46474359
2016-02-29 00:00:00	4758.64425991	6965.77215909	3581.71816725	9047.76733683	1407.85416667
2016-02-29 12:00:00	4468.01925991	6211.83986742	3196.93170892	8200.71004516	1349.546875
2016-03-01 00:00:00	4266.73079837	6186.34948281	2975.82593969	7810.79658362	1268.96995192
2016-03-01 12:00:00	4308.6266317	6799.34948281	2924.08635635	7977.74450029	1309.54286859
2016-03-02 00:00:00	4123.79358974	6850.12395833	2836.32411859	7920.6806891	1319.95633013
2016-03-02 12:00:00	4043.23669872	6810.509375	2813.85216346	7938.93389423	1318.890625
2016-03-03 00:00:00	3976.15977564	6727.28822115	2739.890625	7784.828125	1300.44831731
2016-03-03 12:00:00	3735.46746795	6686.98052885	2845.09254808	7574.15504808	1417.13100962
2016-03-04 00:00:00	3762.01121795	6863.92427885	2797.99879808	7471.98838141	1386.56850962
2016-03-04 12:00:00	4036.76842949	7191.66346154	3218.12259615	7965.31169872	1443.12980769
2016-03-05 00:00:00	4270.78766026	7523.07692308	3665.18028846	8217.28285256	1564.54326923
2016-03-05 12:00:00	4294.62099359	7590.07692308	4103.55528846	8257.7724359	1616.8974359
2016-03-06 00:00:00	4387.39983974	7925.30769231	4726.82451923	8341.29166667	1685.84935897
2016-03-06 12:00:00	4532.57692308	7618.76602564	5521.1161859	8616.52083333	1750.55769231
2016-03-07 00:00:00	4608.17307692	7757.69871795	5824.34695513	8823.09775641	1819.34615385
2016-03-07 12:00:00	4531.07692308	7860.57371795	5929.96233974	8745.09775641	1877.16346154
2016-03-08 00:00:00	4586.43108974	8075.69871795	6090.00400641	8918.32692308	1894.13221154
2016-03-08 12:00:00	4599.09455128	8477.27564103	6346.80208333	8851.72115385	2001.07451923
2016-03-09 00:00:00	4414.5849359	8331.16025641	6369.31169872	8734.86538462	1928.20913462
2016-03-09 12:00:00	4304.1161859	8105.04567308	6344.22836538	8599.41746795	1918.05288462
2016-03-10 00:00:00	4417.47435897	7749.82451923	6139.07932692	8574.76602564	1825.46875
